source_file,data_key,namespace,loaded,row_count,date_range,columns
parameter_sensitivity_results.csv,parameter_sensitivity_results,research_governance,True,900,,"target_vol,exposure_cap,min_exposure,vol_lookback_days,dual_trend_caps,is_current_config,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_exposure,average_cash,average_turnover,window_sharpe_mean,window_sharpe_std,window_cagr_mean,window_cagr_std,Sharpe_delta_vs_current,CAGR_delta_vs_current,DD_delta_vs_current"
robustness_plateau_analysis.csv,robustness_plateau_analysis,research_governance,True,1,,"total_configs,plateau_configs,plateau_pct,local_configs,local_sharpe_std,local_cagr_std,current_sharpe,current_CAGR,current_max_drawdown,current_rank_by_sharpe,current_rank_by_CAGR,interpretation"
rolling_feature_ic.csv,rolling_feature_ic,research_governance,True,1206,2025-03-13 to 2026-05-15,"date,ic,rolling_window,rolling_ic_mean,rolling_ic_vol,horizon,feature,source_column,status"
alpha_decay_curve.csv,alpha_decay_curve,research_governance,True,18,,"feature,source_column,horizon,dates,mean_rank_ic,median_rank_ic,positive_ic_rate,ic_volatility,status"
structural_break_results.csv,structural_break_results,research_governance,True,8,,"feature,source_column,dates,first_period_mean_ic,recent_period_mean_ic,mean_ic_change,sign_flip,cusum_stat,chow_like_t_stat,bai_perron_candidate_breaks,bai_perron_rss_improvement,volatility_increase,status"
feature_distribution_drift.csv,feature_distribution_drift,research_governance,True,8,,"feature,source_column,early_observations,recent_observations,PSI,KL_divergence,early_mean,recent_mean,feature_redundancy_delta_global,status"
garch_model_comparison.csv,garch_model_comparison,research_governance,True,7,,"model_name,observations,QLIKE,MSE,MAE,forecast_realized_corr,VaR_95_exceedance_rate,Kupiec_LR,Kupiec_p_value,Christoffersen_independence_LR,Christoffersen_independence_p_value,convergence_rate,model_family"
hmm_model_comparison.csv,hmm_model_comparison,research_governance,True,3,,"n_states,best_seed,converged,converged_runs,total_runs,best_log_likelihood,AIC,BIC,mean_state_persistence,min_state_persistence,transition_matrix_stability,state_labels,risk_on_state_count,neutral_state_count,risk_off_state_count,state_interpretability,risk_off_spy_vol20,risk_on_spy_return"
hmm_incremental_portfolio_results.csv,hmm_incremental_portfolio_results,research_governance,True,4,,"variant,data_mode,folds,observations,total_return,net_CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,turnover,average_exposure,cost_drag,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ"
governed_experiment_registry.csv,governed_experiment_registry,research_governance,True,3,,"registry_name,trial_count,source,mix_with_governed,status,notes,experiment_id,hypothesis,pre_registered_metric,start_date,allowed_parameters,pass_fail_rule,parameter_set_hash"
frozen_champion_registry.csv,frozen_champion_registry,research_governance,True,2,,"registry_name,trial_count,source,mix_with_governed,status,notes,experiment_id,hypothesis,pre_registered_metric,start_date,allowed_parameters,pass_fail_rule,parameter_set_hash"
model_lifecycle_status.csv,model_lifecycle_status,research_governance,False,0,,
anti_overfitting_governance.csv,anti_overfitting_governance,research_governance,True,1,,"all_time_trials,effective_independent_trials,CSCV_PBO,deflated_sharpe,DSR_p_value,SPA_or_reality_check_p_value,growth_champion_final_survives_multiple_testing_correction,classification,production_changed,paper_changed,parameter_tuning,reason"
out_of_sample_governance.csv,out_of_sample_governance,research_governance,True,1,,"classification,mean_test_sharpe,positive_test_fold_rate,locked_holdout_sharpe,locked_holdout_CAGR,locked_holdout_max_drawdown,mean_rank_IC_20d,embargo_days,purge_days,production_changed,paper_changed,parameters_tuned,governance_note"
parameter_governance.csv,parameter_governance,research_governance,True,1,,"classification,active_parameters_changed,production_changed,paper_changed,new_best_selected,reason"
alpha_decay_governance.csv,alpha_decay_governance,research_governance,True,1,,"classification,raw_target_rank_ic_20d,break_warnings,significant_distribution_drifts,sign_flips,production_changed,paper_changed,automatic_retraining,reason"
